,athlete_id,name,born_date,born_city,born_region,born_country,NOC,height_cm,weight_kg,died_date,h to w ratio,first_name,born_year
136822,140058,Sam Bolton,2002-12-09,Halifax,England,GBR,Great Britain,,,,,Sam,2002.0
137400,140755,Sam Fricker,2002-05-04,Cronulla,New South Wales,AUS,Australia,,,,,Sam,2002.0
140905,144434,Sakura Yosozumi,2002-03-15,,,,Japan,,,,,Sakura,2002.0
135980,139198,Sage Stefani,2002-05-30,,,,Canada,,,,,Sage,2002.0
144220,147906,Sabrina Cass,2002-03-27,Cheshire,Connecticut,USA,Brazil,,,,,Sabrina,2002.0
140991,144525,Ryuji Miura,2002-02-21,,,,Japan,,,,,Ryuji,2002.0
141475,145028,Ryu Seong-Hyun,2002-10-22,,,,Republic of Korea,,,,,Ryu,2002.0
136661,139893,Ryoma Kimata,2002-07-24,,,,Japan,,,,,Ryoma,2002.0
135957,139173,Rylee Hackler,2002-03-28,,,,Canada,,,,,Rylee,2002.0
138123,141515,Rylan Wiens,2002-01-02,Calgary,Alberta,CAN,Canada,,,,,Rylan,2002.0
136851,140087,Ryan Kuehn,2002-10-04,,,,Canada,,,,,Ryan,2002.0
136742,139975,Ruka Hirano,2002-03-12,Osaka,Osaka,JPN,Japan,,,,,Ruka,2002.0
135756,138970,Rosie Fordham,2002-05-07,Camperdown,New South Wales,AUS,Australia,,,,,Rosie,2002.0
144422,148113,Rong Ge,2002-08-03,,,,People's Republic of China,,,,,Rong,2002.0
135411,138625,Roman Zveryan,2002-09-06,,,,Russian Federation,,,,,Roman,2002.0
135508,138722,Roman Morenkov,2002-04-17,Smolensk,Smolensk,RUS,Russian Federation,158.0,44.0,,3.590909090909091,Roman,2002.0
135408,138622,Rok Ažnoh,2002-09-09,,,,Slovenia,,,,,Rok,2002.0
135426,138640,Rok Stojanovič,2002-10-24,,,,Slovenia,,,,,Rok,2002.0
136890,140126,Rocco Baldini,2002-01-12,Sondrio,Sondrio,ITA,Italy,,,,,Rocco,2002.0
135788,139002,Robin Frommelt,2002-12-17,,,,Liechtenstein,,,,,Robin,2002.0
135948,139164,Robin Tissières,2002-04-08,,,,Switzerland,,,,,Robin,2002.0
136914,140150,Robin Bussard,2002-08-20,,,,Switzerland,,,,,Robin,2002.0
135694,138908,Robert Bugara,2002-02-10,,,,Poland,,,,,Robert,2002.0
135369,138583,Rob Holmes,2002-08-24,,,,Great Britain,,,,,Rob,2002.0
141028,144564,Rim Nakamura,2002-02-09,,,,Japan,,,,,Rim,2002.0
144749,148450,Richardson Viano,2002-08-16,La Croix-Des-Missions,Ouest,HAI,Haiti,,,,,Richardson,2002.0
135818,139032,Rhaick Bomfim,2002-04-02,Bertioga,São Paulo,BRA,Brazil,175.0,69.0,,2.536231884057971,Rhaick,2002.0
136966,140202,Remo Slotegraaf,2002-03-05,,,,Netherlands,,,,,Remo,2002.0
143629,147282,Regan Smith,2002-02-09,Lakeville,Minnesota,USA,United States,,,,,Regan,2002.0
142778,146398,Rebecca Meder,2002-07-31,,,,South Africa,,,,,Rebecca,2002.0
136541,139768,Reannyn Weiler,2002-04-20,New Hartford,New York,USA,United States,,,,,Reannyn,2002.0
136790,140026,Rea Kindlimann,2002-10-04,,,,Switzerland,,,,,Rea,2002.0
135290,138504,Ray Iskandar,2002-06-01,,,,Lebanon,,,,,Ray,2002.0
136855,140091,Rasmus Johansen,2002-09-18,,,,Denmark,,,,,Rasmus,2002.0
136941,140177,Ramona Ionel,2002-04-12,Brașov,Brașov,ROU,Romania,,,,,Ramona,2002.0
135754,138968,Ramon Riebli,2002-03-06,,,,Switzerland,,,,,Ramon,2002.0
138180,141573,Raegan Rutty,2002-01-14,,,,Cayman Islands,,,,,Raegan,2002.0
135468,138682,Quentin Sanzo,2002-06-30,,,,Liechtenstein,,,,,Quentin,2002.0
136711,139943,Quentin Sodogas,2002-02-09,,,,France,,,,,Quentin,2002.0
135959,139175,Qiu Xiyang,2002-07-13,,,,People's Republic of China,,,,,Qiu,2002.0
142587,146199,Polina Matveyeva,2002-08-08,Samara,Samara,RUS,ROC,,,,,Polina,2002.0
145078,148790,Polina Chudinova,2002-02-07,Chusovoy,Perm Kray,RUS,ROC,,,,,Polina,2002.0
145495,149222,Polina Luchnikova,2002-01-30,Serov,Sverdlovsk,RUS,ROC,167.0,61.0,,2.737704918032787,Polina,2002.0
135755,138969,Piotr Sobiczewski,2002-12-01,,,,Poland,,,,,Piotr,2002.0
136842,140078,Pia Mazi,2002-12-23,,,,Slovenia,,,,,Pia,2002.0
143628,147281,Phoebe Bacon,2002-08-12,Washington,District of Columbia,USA,United States,178.0,,,,Phoebe,2002.0
135584,138798,Philipp Tumler,2002-01-05,Silandro,Bolzano-Bozen,ITA,Italy,,,,,Philipp,2002.0
135441,138655,Philip Hoffmann,2002-08-29,Spittal an der Drau,Kärnten,AUT,Austria,177.0,70.0,,2.5285714285714285,Philip,2002.0
136996,140232,Petra Rusnáková,2002-01-04,,,,Slovakia,,,,,Petra,2002.0
137045,140281,Petra Jašić,2002-01-25,,,,Serbia,,,,,Petra,2002.0
136619,139848,Perttu Reponen,2002-02-18,Kitee,Pohjois-Karjala,FIN,Finland,,,,,Perttu,2002.0
135787,139001,Pedro Cotaro,2002-11-09,,,,Argentina,,,,,Pedro,2002.0
137884,141266,Pedro Quintas,2002-05-13,São Paulo,São Paulo,BRA,Brazil,175.0,70.0,,2.5,Pedro,2002.0
139081,142530,Pedri González,2002-11-25,Tegueste,Santa Cruz de Tenerife,ESP,Spain,,,,,Pedri,2002.0
143496,147148,Payton Ridenour,2002-05-29,,,,United States,168.0,,,,Payton,2002.0
135637,138851,Pavel Lyashok,2002-02-22,,,,Russian Federation,171.0,67.0,,2.5522388059701493,Pavel,2002.0
136560,139787,Pavel Repilov,2002-07-16,,,,Russian Federation,,,,,Pavel,2002.0
136989,140225,Pavel Taran,2002-02-15,,,,Russian Federation,,,,,Pavel,2002.0
142365,145969,Patryk Grzegorzewicz,2002-05-26,,,,Poland,,,,,Patryk,2002.0
135571,138785,Pascale Paradis,2002-03-04,,,,Canada,,,,,Pascale,2002.0
135875,139089,Park Sang-Woo,2002-01-20,,,,Republic of Korea,,,,,Park,2002.0
135877,139091,Park You-Been,2002-05-23,,,,Republic of Korea,,,,,Park,2002.0
136938,140174,Park San-Geon,2002-07-24,,,,Republic of Korea,,,,,Park,2002.0
136788,140024,Paige Jones,2002-08-30,Park City,Utah,USA,United States,,,,,Paige,2002.0
144295,147983,Owen Power,2002-11-22,Mississauga,Ontario,CAN,Canada,195.0,,,,Owen,2002.0
135812,139026,Otgonlkhagva Zolbayar,2002-07-20,,,,Mongolia,,,,,Otgonlkhagva,2002.0
136905,140141,Ot Ferrer,2002-03-25,Berga,Barcelona,ESP,Spain,181.0,69.0,,2.6231884057971016,Ot,2002.0
135317,138531,Oskar Gillberg,2002-10-15,,,,Sweden,,,,,Oskar,2002.0
135451,138665,Oskar Langowski,2002-01-13,,,,Poland,,,,,Oskar,2002.0
135518,138732,Oscar Andersson,2002-04-07,,,,Sweden,,,,,Oscar,2002.0
135951,139167,Oscar Trygg,2002-07-19,,,,Norway,,,,,Oscar,2002.0
135962,139178,Orest Kovalenko,2002-01-11,,,,Ukraine,170.0,62.0,,2.7419354838709675,Orest,2002.0
